18 26
Tacna Cajamarca 17
Tacna Apurimac 23
Apurimac Cajamarca 30
Apurimac Loreto 45
Apurimac Huanuco 9
Apurimac Ayacucho 14
Cajamarca Lambayeque 21
Cajamarca LaLibertad 19
Loreto SanMartin 40
Huanuco SanMartin 28
Huanuco Pasco 14
Ayacucho Huancavelica 15
LaLibertad Lambayeque 13
LaLibertad Piura 28
LaLibertad Ancash 25
SanMartin Ancash 29
Pasco Callao 12
Huancavelica Junin 17
Piura Lambayeque 20
Piura Tumbes 19
Ancash Lima 40
Callao Lima 3
Junin Lima 25
Lambayeque Ica 19
Tumbes Ica 11
Lima Ica 30
Tacna Ica
