ID Edad Miembro Visito Ingresos Compra
1 Joven Standard Si Bajo SI
2 Joven Standard Si Alto SI
3 Joven Standard No Bajo NO
4 Joven Standard No Alto SI
5 Joven Premium Si Bajo NO
6 Joven Premium Si Alto SI
7 Joven Premium No Bajo SI
8 Joven Premium No Alto SI
9 Joven VIP Si Bajo SI
10 Joven VIP Si Alto NO
11 Joven VIP No Bajo NO
12 Joven VIP No Alto SI
13 Adulto Standard Si Bajo NO
14 Adulto Standard Si Alto SI
15 Adulto Standard No Bajo SI
16 Adulto Standard No Alto SI
17 Adulto Premium Si Bajo SI
18 Adulto Premium Si Alto SI
19 Adulto Premium No Bajo NO
20 Adulto Premium No Alto SI
21 Adulto VIP Si Bajo NO
22 Adulto VIP Si Alto SI
23 Adulto VIP No Bajo SI
24 Adulto VIP No Alto NO
25 AdultoMayor Standard Si Bajo SI
26 AdultoMayor Standard Si Alto NO
27 AdultoMayor Standard No Bajo NO
28 AdultoMayor Standard No Alto SI
29 AdultoMayor Premium Si Bajo SI
30 AdultoMayor Premium Si Alto NO
31 AdultoMayor Premium No Bajo SI
32 AdultoMayor Premium No Alto NO
33 AdultoMayor VIP Si Bajo NO
34 AdultoMayor VIP Si Alto SI
35 AdultoMayor VIP No Bajo NO
36 AdultoMayor VIP No Alto SI
