Año,ene,feb,mar,abr,may,jun,jul,ago,set,oct,nov,dic,Ppmax,Prom. Anu
1992,21.00,29.30,37.40,28.90,0.00,4.30,44.20,16.00,8.00,28.60,15.80,3.90,44.20,19.78
1993,31.20,22.40,15.80,14.70,0.00,0.00,0.01,3.50,8.00,28.50,22.40,18.90,31.20,13.78
1994,22.20,19.60,18.40,8.90,8.90,0.00,0.00,3.90,6.50,20.80,14.40,12.90,22.20,11.38
1995,11.10,14.30,26.20,19.50,3.50,0.00,0.00,0.00,4.20,24.40,23.90,13.90,26.20,11.75
1996,27.00,26.80,23.50,18.20,3.20,5.80,0.01,4.50,24.80,7.20,16.40,17.20,27.00,14.55
1997,17.90,20.50,24.30,12.30,4.00,0.01,16.00,3.70,10.60,12.80,18.00,28.30,28.30,14.03
1998,19.40,28.10,8.60,9.50,0.00,2.70,0.00,3.80,4.50,18.20,18.60,12.70,28.10,10.51
1999,11.30,34.50,15.50,9.20,0.00,3.40,4.90,0.00,14.60,8.20,14.20,14.00,34.50,10.82
2000,14.30,14.50,15.00,8.10,3.50,2.80,3.80,14.30,14.90,10.20,17.40,24.70,24.70,11.96
2001,26.10,21.30,24.70,8.20,8.40,0.00,8.00,3.70,18.70,17.50,12.20,27.60,27.60,14.70
2002,16.80,20.10,13.70,6.50,0.00,1.10,4.10,0.00,13.80,25.90,23.00,16.10,25.90,11.76
2003,23.00,17.30,16.70,11.80,6.70,0.00,0.00,7.40,15.30,6.70,20.90,15.80,23.00,11.80
2004,10.20,34.60,20.70,9.80,13.70,10.80,6.80,8.80,13.10,5.90,10.10,17.40,34.60,13.49
2005,9.30,21.10,13.10,21.20,11.90,0.00,0.00,17.50,14.60,21.70,9.60,18.30,21.70,13.19
2006,17.90,22.00,23.60,8.50,0.00,4.40,0.00,15.10,8.30,22.10,11.30,18.50,23.60,12.64
2007,17.90,9.70,13.70,7.60,0.00,0.00,5.80,0.00,18.80,8.70,19.30,15.50,19.30,9.75
2008,14.00,25.10,13.60,0.00,2.10,4.60,0.00,0.00,14.60,9.30,15.10,20.20,25.10,9.88
2009,11.70,14.20,23.40,11.60,8.50,0.00,5.80,19.10,8.60,18.20,17.20,21.40,23.40,13.31
2010,25.40,11.60,24.80,20.50,0.00,13.50,20.50,4.20,7.80,8.80,16.50,37.90,37.90,15.96
2011,32.60,37.10,23.00,36.40,8.90,0.00,6.00,7.50,12.10,12.70,14.20,32.60,37.10,18.59
2012,24.30,57.70,19.40,18.90,9.10,9.80,3.70,3.50,16.40,7.10,9.70,25.70,57.70,17.11
2013,18.70,31.20,13.10,4.20,8.60,8.60,5.80,0.00,17.00,11.20,11.20,29.20,31.20,13.23
