Año,ene,feb,mar,abr,may,jun,jul,ago,set,oct,nov,dic,Ppmax,Prom. Anual
1992,6.40,14.40,7.40,8.50,3.40,7.40,2.00,6.00,6.60,16.80,14.10,9.30,16.80,8.53
1993,10.80,17.80,14.40,23.60,15.80,1.80,2.00,10.60,9.60,5.00,11.40,10.00,23.60,11.07
1994,25.00,10.80,17.00,9.60,9.00,6.00,0.00,4.20,3.30,8.60,8.70,9.80,25.00,9.33
1995,14.00,12.80,12.50,6.00,5.40,1.50,3.00,5.70,4.30,22.50,18.50,36.60,36.60,11.90
1996,32.50,8.30,18.60,33.30,3.80,1.00,0.00,1.00,12.60,15.40,15.30,14.10,33.30,12.99
1997,18.00,22.90,9.00,11.10,2.20,2.10,2.40,5.60,11.40,16.50,16.20,30.30,30.30,12.31
1998,35.50,31.50,8.80,21.20,6.80,5.70,0.00,3.20,12.80,18.20,13.00,12.60,35.50,14.11
1999,11.50,22.90,11.60,7.20,1.60,10.90,7.80,2.80,12.20,25.80,20.40,21.40,25.80,13.01
2000,19.20,22.10,19.00,14.50,5.80,1.80,6.00,7.70,2.60,11.10,10.10,18.00,22.10,11.49
2001,14.90,19.90,20.50,14.90,4.70,0.80,3.20,2.50,13.00,26.40,13.00,29.90,29.90,13.64
2002,11.20,17.20,21.30,7.50,4.70,0.70,10.40,7.60,16.70,16.70,23.40,20.80,23.40,13.18
2003,15.00,19.30,29.00,24.00,11.80,0.00,0.50,9.40,12.10,11.20,25.20,23.00,29.00,15.04
2004,20.00,33.50,14.70,9.30,3.70,6.50,6.70,3.20,17.50,13.40,20.90,21.30,33.50,14.23
2005,12.30,20.80,18.80,14.60,1.90,11.90,2.00,0.40,4.40,24.30,17.30,33.90,33.90,13.55
2006,25.50,14.00,13.20,6.70,0.70,3.60,5.10,4.90,14.50,10.00,22.20,33.20,33.20,12.80
2007,18.70,9.40,32.20,11.50,5.40,0.00,2.50,8.20,6.20,13.70,15.90,17.00,32.20,11.73
2008,25.00,8.40,8.80,18.50,3.80,7.90,0.00,3.40,11.20,39.00,17.50,16.40,39.00,13.33
2009,14.50,14.40,19.40,31.10,7.80,0.90,3.30,18.80,16.40,7.70,27.50,22.30,31.10,15.34
2010,22.00,36.40,25.00,15.00,0.40,1.70,19.20,4.50,2.40,17.50,12.70,29.10,36.40,15.49
2011,30.00,34.00,36.50,19.00,2.70,0.00,5.20,1.50,17.00,15.20,18.00,23.30,36.50,16.87
2012,15.30,23.90,10.70,15.80,14.50,10.90,0.00,1.50,15.10,8.60,10.00,23.80,23.90,12.51
2013,25.50,12.60,10.30,15.90,6.00,1.60,2.90,20.40,11.60,9.60,10.50,19.10,25.50,12.17
